count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
296,0.29095,-0.138,-0.096,-2.671,0.0015,-0.00419,-0.00225,0
297,0.291941,-0.114,-0.1,-2.658,0.00157,-0.00407,-0.00146,0
298,0.292932,-0.129,-0.107,-2.656,0.00162,-0.00414,-0.00198,0
299,0.293908,-0.106,-0.124,-2.636,0.00163,-0.00417,-0.0017,0
300,0.294882,-0.102,-0.125,-2.675,0.00153,-0.00404,-0.0018,0
301,0.295856,-0.096,-0.102,-2.613,0.00172,-0.00413,-0.0016,0
302,0.296847,-0.123,-0.103,-2.652,0.00162,-0.00412,-0.0012,0
303,0.297838,-0.105,-0.108,-2.652,0.0017,-0.00403,-0.00143,0
304,0.298814,-0.104,-0.105,-2.667,0.00152,-0.00405,-0.00165,0
305,0.299788,-0.113,-0.103,-2.645,0.00162,-0.00414,-0.00165,0
306,0.300762,-0.139,-0.109,-2.653,0.00159,-0.00428,-0.00181,0
307,0.301753,-0.143,-0.127,-2.656,0.00156,-0.0043,-0.00209,0
308,0.302744,-0.127,-0.108,-2.703,0.00157,-0.00426,-0.00169,0
309,0.30372,-0.105,-0.139,-2.671,0.00162,-0.00416,-0.00223,0
310,0.304694,-0.119,-0.108,-2.646,0.00156,-0.00401,-0.00155,0
311,0.305668,-0.116,-0.118,-2.63,0.00167,-0.00402,-0.00163,0
312,0.306659,-0.111,-0.126,-2.677,0.00169,-0.00403,-0.00194,0
313,0.30765,-0.136,-0.117,-2.629,0.00158,-0.00413,-0.00125,0
314,0.308626,-0.093,-0.112,-2.653,0.00157,-0.0042,-0.00142,0
315,0.3096,-0.117,-0.099,-2.654,0.00156,-0.00408,-0.00157,0
316,0.310574,-0.124,-0.12,-2.635,0.0016,-0.00414,-0.00189,0
317,0.311565,-0.126,-0.122,-2.659,0.00167,-0.00417,-0.00153,0
318,0.312556,-0.089,-0.102,-2.641,0.00162,-0.00405,-0.0015,0
